source_code,return_reason,rpi_count
AMAZON_FLEX_API,Did not like color,4
AMAZON_FLEX_API,Different from website description,1
AMAZON_FLEX_API,Different from what was ordered,6
AMAZON_FLEX_API,Item not as shown by photo on website,1
AMAZON_FLEX_API,Performance or quality not adequate,8
AMAZON_FLEX_API,Style not as expected,6
AMAZON_FLEX_API,Too large,14
AMAZON_FLEX_API,Too small,7
FLIPKART,MISSHIPMENT,1
FLIPKART,QUALITY_ISSUES,1
FLIPKART,SIZE_FIT_ISSUES,5
JIOMART3P,Return expected on panel,2
LIMEROAD,Return expected on panel,2
MYNTRAPPMP,Color is different,7
MYNTRAPPMP,Delivery was delayed ,1
MYNTRAPPMP,Design is different,2
MYNTRAPPMP,Different product was delivered,4
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,Found a better price outside Myntra,1
MYNTRAPPMP,Generic Return Reason,1
MYNTRAPPMP,I did not like the fit,41
MYNTRAPPMP,I do not need it anymore,3
MYNTRAPPMP,It did not look good on me,19
MYNTRAPPMP,Product image was better than the actual product,3
MYNTRAPPMP,Product looked old,9
MYNTRAPPMP,Product was dirty and had stains,2
MYNTRAPPMP,Received a poor quality product,12
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,2
MYNTRAPPMP,Size is too Large,32
MYNTRAPPMP,Size is too Small,28
MYNTRAPPMP,Wrong size was delivered,1
NYKAA_FASHION,Didn't like the quality of product,8
NYKAA_FASHION,Product didn't fit- Too Large,6
NYKAA_FASHION,Product didn't fit- Too Small,8
NYKAA_FASHION,Received wrong product- Wrong item sent,1
NYKAA_FASHION,Received wrong product- Wrong size sent,1
SHOPIFY,44387817521396,1
SHOPIFY,Damage Product ,1
SHOPIFY,excption return,3
SHOPIFY,missig product ,1
SHOPIFY,missing,2
SHOPIFY,Missing product ,3
SHOPIFY,Quality issue ,9
SHOPIFY,Return exception,2
SHOPIFY,Size issue ,8
SHOPIFY,Wrong prodcut ,1
SHOPIFY,Wrong product ,9
SHOPIFY,Wrong product delivered,1
SHOPIFY,wrong product delivr,1
SHOPIFY,Wrong size delivered,1
AMAZON_CA_API,AMZ-PG-WJ-TARNISHED,1
AMAZON_FBA_US_API,JEWELRY_TOO_LARGE,1
AMAZON_FBA_US_API,UNWANTED_ITEM,1
AMAZON_FLEX_API,,1
AMAZON_FLEX_API,Defective/Does not work properly,11
AMAZON_FLEX_API,Different from website description,10
AMAZON_FLEX_API,Different from what was ordered,31
AMAZON_FLEX_API,Incompatible or not useful for intended purpose,1
AMAZON_FLEX_API,Item not as shown by photo on website,7
AMAZON_FLEX_API,Missing parts or accessories,1
AMAZON_FLEX_API,No longer needed/wanted,1
AMAZON_FLEX_API,Performance or quality not adequate,32
AMAZON_FLEX_API,Style not as expected,25
AMAZON_FLEX_API,Too large,11
AMAZON_FLEX_API,Too small,19
