source_code,return_reason,rpi_count
AMAZON_FLEX_API,Defective/Does not work properly,1
AMAZON_FLEX_API,Did not like color,1
AMAZON_FLEX_API,Different from website description,1
AMAZON_FLEX_API,Different from what was ordered,1
AMAZON_FLEX_API,Performance or quality not adequate,5
AMAZON_FLEX_API,Style not as expected,5
AMAZON_FLEX_API,Too large,6
AMAZON_FLEX_API,Too small,2
FLIPKART,SIZE_FIT_ISSUES,2
JIOMART3P,Return expected on panel,3
LIMEROAD,Return expected on panel,2
MYNTRAPPMP,Color is different,9
MYNTRAPPMP,Design is different,4
MYNTRAPPMP,Different product was delivered,1
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,Found a better price outside Myntra,2
MYNTRAPPMP,Generic Return Reason,3
MYNTRAPPMP,I did not like the fit,34
MYNTRAPPMP,I do not need it anymore,2
MYNTRAPPMP,It did not look good on me,17
MYNTRAPPMP,Product image was better than the actual product,7
MYNTRAPPMP,Product looked old,13
MYNTRAPPMP,Product was dirty and had stains,2
MYNTRAPPMP,Received a poor quality product,14
MYNTRAPPMP,Return expected on panel,3
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,2
MYNTRAPPMP,Size is too Large,34
MYNTRAPPMP,Size is too Small,27
NYKAA_FASHION,Change of mind - Don't need it anymore,2
NYKAA_FASHION,Didn't like the quality of product,4
NYKAA_FASHION,Product didn't fit- Too Large,7
NYKAA_FASHION,Product didn't fit- Too Small,10
NYKAA_FASHION,Received wrong product- Wrong item sent,1
NYKAA_FASHION,Received wrong product- Wrong size sent,1
SHOPIFY,44387817521396,1
SHOPIFY,Damage Product ,1
SHOPIFY,Missing product ,2
SHOPIFY,Quality issue ,4
SHOPIFY,Size issue ,7
SHOPIFY,Wrong prodcut ,1
SHOPIFY,Wrong product ,4
SHOPIFY,wrong product delivr,1
AMAZON_CA_API,CR-UNWANTED_ITEM,1
AMAZON_FBA_US_API,JEWELRY_TOO_LARGE,1
AMAZON_FBA_US_API,JEWELRY_TOO_SMALL,1
AMAZON_FBA_US_API,UNWANTED_ITEM,2
AMAZON_FBA_IN,UNDELIVERABLE_REFUSED,1
AMAZON_FLEX_API,Defective/Does not work properly,4
AMAZON_FLEX_API,Different from website description,6
AMAZON_FLEX_API,Different from what was ordered,20
AMAZON_FLEX_API,Item not as shown by photo on website,5
AMAZON_FLEX_API,Performance or quality not adequate,16
AMAZON_FLEX_API,Style not as expected,13
AMAZON_FLEX_API,Too large,4
AMAZON_FLEX_API,Too small,11
AMAZON_IN_API,CR-QUALITY_UNACCEPTABLE,4
ANS_COMMERCE,,11
ANS_COMMERCE,Customer mistakenly purchased wrong spare.,1
ANS_COMMERCE,Customer received a damaged product.,1
ANS_COMMERCE,Customer received a used product.,3
ANS_COMMERCE,Damaged Item Delivered,1
ANS_COMMERCE,Product mismatch,1
ANS_COMMERCE,Received damaged product,1
ANS_COMMERCE,Return expected on panel,4
ANS_COMMERCE,The Customer Place the Twice order for the same product.,1
ANS_COMMERCE,Wrong model product received.,1
ANS_COMMERCE,Wrong product order jars are not fit in the mixer ,2
ANS_COMMERCE,Wrong product ordered ,1
ANS_COMMERCE,Wrong Product Ordered the lid is not fit in the juicer ,1
FLIPKART,,1
FLIPKART,ACCESSORY_DEFECTIVE,1
FLIPKART,CUSTOMER_REMORSE,2
FLIPKART,DAMAGED_PRODUCT,1
FLIPKART,MISSHIPMENT,11
FLIPKART,MISSING_ITEM,1
FLIPKART,QUALITY_ISSUE,1
FLIPKART,QUALITY_ISSUES,2
FLIPKART,REPLENISHMENT_NOT_POSSIBLE,1
FLIPKART,SIZE_FIT_ISSUES,13
MYNTRAPPMP,Design is different,3
MYNTRAPPMP,Different product was delivered,5
MYNTRAPPMP,I did not like the fit,38
MYNTRAPPMP,I do not need it anymore,2
MYNTRAPPMP,It did not look good on me,5
MYNTRAPPMP,Product image was better than the actual product,1
MYNTRAPPMP,Received a poor quality product,7
MYNTRAPPMP,Size is too Large,9
MYNTRAPPMP,Size is too Small,32
NYKAA_COM,Change of mind - Don't need it anymore,2
NYKAA_COM,Product didn't fit - Too Large,3
NYKAA_COM,Product didn't fit - Too Small,2
NYKAA_COM,Received damaged/defective product,3
NYKAA_FASHION,,1
NYKAA_FASHION,Change of mind - Don't need it anymore,1
NYKAA_FASHION,Didn't like the quality of product,5
NYKAA_FASHION,Product didn't fit- Too Large,2
NYKAA_FASHION,Product didn't fit- Too Small,3
NYKAA_FASHION,Received damaged/ defective product,3
NYKAA_FASHION,Received wrong product- Wrong item sent,9
NYKAA_FASHION,Return expected on panel,1
SHOPIFY,Consumer received damaged product ,1
SHOPIFY,received damage product - Lakmé Cushion Matte,1
SNAPDEAL,,4
TATACLIQ,Return expected on panel,3
CRED,Defective item,2
CRED,Found better price elsewhere,3
CRED,I got a wrong product delivered,1
CRED,Incorrect product,2
CRED,"Only product is damaged, shipping box is OK",4
CRED,Product received is different from the image shown,1
FLIPKART,ACCESSORY_DEFECTIVE,1
JIOMART3P,Return expected on panel,3
MYNTRAPPMP,Color is different,1
MYNTRAPPMP,Defective product was delivered,2
SNAPDEAL,Return expected on panel,5
SNAPMINT,Return expected on panel,3
AJIO_OMNI,Return expected on panel,22
AMAZON_IN_API,AMZ-PG-APP-STYLE,1
AMAZON_IN_API,AMZ-PG-APP-TOO-LARGE,6
AMAZON_IN_API,AMZ-PG-APP-TOO-SMALL,8
AMAZON_IN_API,AMZ-PG-BAD-DESC,2
AMAZON_IN_API,CR-DEFECTIVE,1
AMAZON_IN_API,CR-QUALITY_UNACCEPTABLE,5
CRED,Found better price elsewhere,3
CRED,Incorrect product,3
CRED,"Only product is damaged, shipping box is OK",1
CRED,Product received is different from the image shown,2
FLIPKART,CUSTOMER_REMORSE,3
FLIPKART,DAMAGED_PRODUCT,1
FLIPKART,MISSHIPMENT,4
FLIPKART,MULTIPLE_ISSUES_WITH_PRODUCT,2
FLIPKART,QUALITY_ISSUES,34
FLIPKART,SIZE_FIT_ISSUES,76
MYNTRAPPMP,Color is different,1
MYNTRAPPMP,Defective product was delivered,3
MYNTRAPPMP,Design is different,2
MYNTRAPPMP,Different product was delivered,2
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,Found a better price outside Myntra,2
MYNTRAPPMP,Generic Return Reason,2
MYNTRAPPMP,I did not like the fit,14
MYNTRAPPMP,I do not need it anymore,2
MYNTRAPPMP,It did not look good on me,14
MYNTRAPPMP,Product image was better than the actual product,2
MYNTRAPPMP,Product looked old,2
MYNTRAPPMP,Product was dirty and had stains,1
MYNTRAPPMP,Received a poor quality product,10
MYNTRAPPMP,Return expected on panel,6
MYNTRAPPMP,Size is too Large,13
MYNTRAPPMP,Size is too Small,12
NYKAA_FASHION,Product didn't fit- Too Large,1
NYKAA_FASHION,Product didn't fit- Too Small,2
NYKAA_FASHION,Received wrong product- Wrong item sent,1
TATACLIQ,Return expected on panel,1
AMAZON_IN_API,CR-SWITCHEROO,6
CRED,Both product and shipping box are damaged,1
CRED,Incorrect product,10
CRED,Missing items,2
CRED,"Only product is damaged, shipping box is OK",2
CRED,Product received is different from the image shown,1
CRED,Return expected on panel,2
FLIPKART,DAMAGED_PRODUCT,16
FLIPKART,DEFECTIVE_PRODUCT,1
FLIPKART,MISSHIPMENT,6
FLIPKART,MISSING_ITEM,5
AMAZON_FBA_IN,DAMAGED_BY_CARRIER,1
AMAZON_FBA_IN,DAMAGED_BY_FC,1
AMAZON_FBA_IN,NOT_COMPATIBLE,3
AMAZON_FBA_IN,ORDERED_WRONG_ITEM,2
AMAZON_FBA_IN,QUALITY_UNACCEPTABLE,1
AMAZON_FBA_IN,SWITCHEROO,2
AMAZON_FBA_IN,UNDELIVERABLE_REFUSED,1
AMAZON_FLEX_API,Accidental order,2
AMAZON_FLEX_API,Defective/Does not work properly,1
AMAZON_FLEX_API,Incompatible or not useful for intended purpose,1
AMAZON_FLEX_API,Performance or quality not adequate,1
AMAZON_FLEX_API,Too large,1
AMAZON_FLEX_API,Too small,2
FLIPKART,DAMAGED_PRODUCT,1
FLIPKART,QUALITY_ISSUES,2
FLIPKART,SIZE_FIT_ISSUES,1
MYNTRAPPMP,Color is different,1
MYNTRAPPMP,I did not like the fit,3
MYNTRAPPMP,I do not need it anymore,2
MYNTRAPPMP,It did not look good on me,7
MYNTRAPPMP,Product looked old,1
MYNTRAPPMP,Received a poor quality product,6
MYNTRAPPMP,Return expected on panel,4
MYNTRAPPMP,Size is too Large,1
MYNTRAPPMP,Size is too Small,1
MYNTRAPPMP,Wrong size was delivered,1
MYNTRAPPMP,Found a better price outside Myntra,1
MYNTRAPPMP,I did not like the fit,1
MYNTRAPPMP,Size is too Large,1
MYNTRAPPMP,Size is too Small,6
AMAZON_FLEX_API,Damaged due to inappropriate packaging,1
AMAZON_FLEX_API,Different from what was ordered,1
AMAZON_FLEX_API,Performance or quality not adequate,1
FLIPKART,,68
FLIPKART,COLOR_SIZE_ISSUE,3
FLIPKART,DAMAGED_PRODUCT,13
FLIPKART,DEFECTIVE_PRODUCT,2
FLIPKART,MISSHIPMENT,8
FLIPKART,MISSING_ITEM,1
FLIPKART,QUALITY_ISSUES,1
FLIPKART,SIZE_FIT_ISSUES,2
MEESHO,null null,11
MYNTRAPPMP,,1
MYNTRAPPMP,Defective product was delivered,1
MYNTRAPPMP,Different product was delivered,2
MYNTRAPPMP,Generic Return Reason,1
MYNTRAPPMP,Size is too Large,2
NYKAA_COM,Received Damaged Product,1
PHARMEASY,,2
SNAPDEAL,,1
FIRSTCRY,Damaged Item(s) Received,1
MEESHO,null null,27
MYNTRAPPMP,Color is different,1
MYNTRAPPMP,Defective product was delivered,5
MYNTRAPPMP,Different product,1
MYNTRAPPMP,Different product was delivered,2
MYNTRAPPMP,Different shade/color/size,17
